PERSON_ID|idB|DISTANCE
-120080|-3425|0.0
-122239|-37290|0.0
-122776|-8146|0.0
-122838|-46183|0.0
-123231|-11028|0.0
-124399|-11948|0.0
-124961|-25147|0.0
-128662|-47505|0.0
-130081|-11466|0.0
-130899|-12197|0.0
-131454|-13244|0.0
-132936|-20778|0.0
-133969|-39265|0.0
-134139|-2059|0.0
-135172|-36709|0.0
-136770|-4299|0.0
-138731|-33422|0.0
-139939|-16414|0.0
-140780|-46377|0.0
-141160|-36384|0.0
-142135|-16568|0.0
-143860|-8100|0.0
-145280|-21916|0.0
-146363|-26966|0.0
-1245|-2336|0.0
-1723|-47962|0.0
-1901|-23760|0.0
-3442|-31021|0.0
-4339|-45674|0.0
-4618|-27020|0.0
-4904|-44434|0.0
-5290|-41856|0.0
-5884|-21877|0.0
-6995|-12312|0.0
-7337|-15593|0.0
-15084|-8338|0.0
-17511|-11624|0.0
-17572|-34309|0.0
-18398|-5969|0.0
-20049|-20130|0.0
-26858|-39261|0.0
-29861|-6076|0.0
-38751|-43844|0.0
-39334|-1869|0.0
-40998|-50365|0.0
-45290|-49375|0.0
-48594|-26055|0.0
-48686|-1802|0.0
-49153|-24277|0.0
-49770|-21269|0.0
-50110|-612|0.0
-50287|-29356|0.0
-50394|-27597|0.0
-52086|-4133|0.0
-52941|-47553|0.0
-53654|-15838|0.0
-56176|-40699|0.0
-59651|-1588|0.0
-59972|-33320|0.0
-61295|-27120|0.0
-61466|-18116|0.0
-61754|-13840|0.0
-61964|-8401|0.0
-62905|-43580|0.0
-67771|-23910|0.0
-69103|-19529|0.0
-69106|-1984|0.0
-70973|-24819|0.0
-366733|-17063|0.0
-368609|-31629|0.0
-369050|-10801|0.0
-372543|-22586|0.0
-372924|-47978|0.0
-372936|-49689|0.0
-377652|-15983|0.0
-379690|-43775|0.0
-380706|-29128|0.0
-382791|-36110|0.0
-384248|-35516|0.0
-384686|-11178|0.0
-391771|-13484|0.0
-391834|-49475|0.0
-391905|-5898|0.0
-392198|-29098|0.0
-393032|-31403|0.0
-394594|-28696|0.0
-395358|-20704|0.0
-396081|-38158|0.0
-396874|-38722|0.0
-398402|-27071|0.0
-398641|-32167|0.0
-398667|-14356|0.0
-402978|-46112|0.0
-403336|-45750|0.0
-403383|-27926|0.0
-409857|-4257|0.0
-414741|-2935|0.0
-415744|-1010|0.0
-421432|-38490|0.0
-423743|-36135|0.0
-424637|-20600|0.0
-427468|-49033|0.0
-150061|-17687|0.0
-150246|-203|0.0
-150312|-3211|0.0
-150520|-16955|0.0
-156532|-47008|0.0
-158609|-16350|0.0
-159044|-24774|0.0
-159249|-21647|0.0
-159743|-32982|0.0
-161387|-32852|0.0
-161407|-20059|0.0
